ID da viagem,Data,Hora,Linha de ônibus,Número de passageiros,Tipo de veículo,Localização de partida,Localização de chegada,Tempo de viagem (minutos),Custo da viagem (R$)
292,2023-09-13,06:53,Linha 303,13,Ônibus convencional,Zona Sul,Zona Sul,47,5.57
293,2023-11-16,18:03,Linha 404,5,Articulado,Centro,Zona Norte,18,7.29
294,2023-08-11,13:42,Linha 202,61,Micro-ônibus,Centro,Zona Leste,12,4.03
295,2023-02-08,20:25,Linha 505,23,Elétrico,Zona Oeste,Zona Sul,22,5.88
296,2023-06-27,14:59,Linha 202,64,Ônibus convencional,Zona Norte,Zona Sul,30,4.46
297,2023-09-03,11:56,Linha 505,106,Micro-ônibus,Zona Sul,Centro,52,7.16
298,2023-04-12,15:25,Linha 505,62,Micro-ônibus,Zona Leste,Zona Leste,30,6.46
299,2023-09-24,17:17,Linha 202,86,Micro-ônibus,Zona Sul,Zona Oeste,52,5.9
300,2023-06-13,20:44,Linha 101,124,Elétrico,Centro,Zona Sul,28,5.92
301,2023-03-15,14:43,Linha 101,17,Elétrico,Zona Leste,Zona Sul,74,3.65
302,2023-05-18,18:37,Linha 505,40,Articulado,Zona Leste,Zona Sul,65,5.73
303,2023-12-29,21:31,Linha 303,144,Micro-ônibus,Centro,Zona Oeste,23,5.61
304,2023-02-02,15:19,Linha 404,69,Elétrico,Zona Oeste,Centro,75,3.74
305,2023-09-22,13:56,Linha 101,66,Elétrico,Zona Leste,Centro,72,6.19
306,2023-12-22,18:23,Linha 505,81,Articulado,Zona Norte,Zona Norte,56,4.9
307,2023-08-03,13:59,Linha 505,108,Micro-ônibus,Centro,Zona Oeste,36,6.51
308,2023-06-10,08:26,Linha 303,81,Articulado,Zona Norte,Zona Sul,47,6.33
309,2023-07-10,17:54,Linha 505,150,Articulado,Zona Oeste,Centro,64,4.84
310,2023-04-12,05:29,Linha 202,94,Ônibus convencional,Zona Leste,Zona Leste,20,3.61
311,2023-12-09,21:26,Linha 101,118,Elétrico,Centro,Zona Leste,74,5.49
312,2023-03-06,09:19,Linha 303,5,Micro-ônibus,Zona Oeste,Zona Leste,57,5.94
313,2023-06-10,17:04,Linha 404,20,Ônibus convencional,Zona Norte,Centro,59,6.81
314,2023-06-02,13:29,Linha 101,73,Articulado,Zona Norte,Zona Oeste,47,4.5
315,2023-12-22,13:04,Linha 202,91,Elétrico,Zona Sul,Zona Oeste,45,5.21
316,2023-08-08,14:44,Linha 303,79,Elétrico,Zona Leste,Zona Norte,41,3.59
317,2023-02-09,06:27,Linha 101,93,Articulado,Zona Norte,Zona Oeste,40,4.87
318,2023-04-19,07:48,Linha 404,92,Elétrico,Zona Leste,Zona Leste,81,6.84
319,2023-01-24,11:40,Linha 303,117,Micro-ônibus,Zona Leste,Zona Leste,41,4.34
320,2023-07-04,13:16,Linha 202,102,Ônibus convencional,Centro,Zona Norte,76,5.67
321,2023-03-03,07:21,Linha 404,8,Articulado,Zona Oeste,Centro,82,6.63
322,2023-03-28,16:57,Linha 101,47,Micro-ônibus,Zona Oeste,Zona Norte,60,4.78
323,2023-08-18,05:22,Linha 303,119,Articulado,Zona Oeste,Zona Leste,23,5.9
324,2023-10-17,06:58,Linha 505,7,Articulado,Zona Sul,Zona Leste,69,5.03
325,2023-01-21,21:52,Linha 505,37,Ônibus convencional,Zona Oeste,Centro,11,6.98
326,2023-11-23,22:45,Linha 404,78,Articulado,Centro,Centro,17,5.52
327,2023-05-11,15:33,Linha 404,49,Elétrico,Centro,Centro,59,6.47
328,2023-10-18,06:40,Linha 101,110,Articulado,Zona Oeste,Zona Leste,81,7.05
329,2023-02-24,07:07,Linha 404,125,Elétrico,Zona Oeste,Zona Sul,79,7.08
330,2023-07-13,10:16,Linha 404,90,Articulado,Zona Sul,Zona Oeste,33,4.11
331,2023-04-23,05:27,Linha 101,82,Micro-ônibus,Zona Leste,Zona Sul,49,6.21
332,2023-08-14,14:53,Linha 404,138,Elétrico,Centro,Zona Oeste,10,4.36
333,2023-02-24,19:16,Linha 202,76,Ônibus convencional,Centro,Zona Oeste,43,6.26
334,2023-06-15,12:54,Linha 101,52,Micro-ônibus,Centro,Centro,29,5.99
335,2023-04-29,08:15,Linha 303,110,Articulado,Zona Oeste,Zona Norte,10,6.54
336,2023-07-10,16:42,Linha 202,57,Articulado,Centro,Zona Norte,22,4.72
337,2023-10-30,19:48,Linha 303,67,Micro-ônibus,Zona Norte,Zona Sul,17,4.39
338,2023-07-27,18:08,Linha 101,100,Micro-ônibus,Zona Norte,Zona Sul,44,5.34
339,2023-12-18,11:11,Linha 404,36,Micro-ônibus,Zona Oeste,Zona Norte,42,6.2
340,2023-09-02,22:41,Linha 404,100,Ônibus convencional,Zona Leste,Zona Norte,35,6.21
341,2023-04-27,09:43,Linha 505,81,Elétrico,Zona Leste,Centro,37,7.5
342,2023-11-16,05:35,Linha 101,84,Micro-ônibus,Zona Oeste,Zona Leste,74,6.89
343,2023-02-26,17:26,Linha 505,95,Elétrico,Centro,Zona Leste,16,4.32
344,2023-02-08,11:02,Linha 303,18,Articulado,Zona Leste,Centro,70,4.91
345,2023-07-23,18:56,Linha 202,64,Elétrico,Zona Leste,Zona Norte,25,7.02
346,2023-02-28,17:07,Linha 202,142,Ônibus convencional,Centro,Zona Sul,39,3.92
347,2023-10-13,11:00,Linha 101,57,Articulado,Zona Sul,Zona Norte,21,5.88
348,2023-08-09,14:35,Linha 303,142,Elétrico,Zona Norte,Centro,15,5.7
349,2023-05-15,12:31,Linha 303,129,Ônibus convencional,Zona Oeste,Zona Norte,27,5.05
350,2023-10-08,13:27,Linha 303,121,Articulado,Zona Oeste,Zona Sul,34,5.24
351,2023-09-25,07:30,Linha 101,58,Ônibus convencional,Zona Sul,Zona Oeste,83,6.3
352,2023-04-08,12:13,Linha 303,52,Micro-ônibus,Zona Sul,Zona Sul,57,5.86
353,2023-09-16,17:12,Linha 404,85,Elétrico,Zona Leste,Zona Norte,15,6.3
354,2023-01-10,11:19,Linha 303,91,Ônibus convencional,Zona Norte,Zona Leste,76,5.23
355,2023-01-08,08:02,Linha 303,33,Ônibus convencional,Zona Norte,Zona Oeste,43,7.26
356,2023-08-02,09:42,Linha 202,20,Articulado,Zona Norte,Zona Leste,15,6.72
357,2023-03-16,22:47,Linha 505,33,Elétrico,Zona Leste,Zona Norte,17,6.21
358,2023-11-18,12:07,Linha 202,37,Elétrico,Zona Norte,Zona Leste,87,7.47
359,2023-11-21,11:01,Linha 202,38,Elétrico,Zona Leste,Zona Norte,36,5.2
360,2023-08-30,12:08,Linha 505,104,Micro-ônibus,Centro,Centro,14,3.89
361,2023-10-15,20:16,Linha 101,144,Ônibus convencional,Zona Oeste,Centro,33,4.16
362,2023-02-16,18:03,Linha 505,136,Articulado,Zona Oeste,Zona Norte,14,6.76
363,2023-07-30,09:32,Linha 101,33,Micro-ônibus,Zona Leste,Zona Sul,35,5.72
364,2023-11-16,18:09,Linha 202,31,Articulado,Zona Leste,Zona Oeste,24,6.33
365,2023-02-04,05:39,Linha 202,50,Micro-ônibus,Zona Oeste,Centro,39,4.93
366,2023-02-01,09:51,Linha 303,124,Articulado,Centro,Zona Norte,80,5.81
367,2023-06-02,07:16,Linha 404,47,Micro-ônibus,Zona Norte,Zona Sul,13,7.45
368,2023-09-28,06:33,Linha 404,30,Ônibus convencional,Zona Leste,Zona Oeste,84,7.04
369,2023-10-08,14:14,Linha 202,57,Micro-ônibus,Centro,Zona Oeste,28,6.3
370,2023-11-09,13:26,Linha 505,105,Articulado,Zona Leste,Zona Sul,86,6.65
371,2023-10-22,11:13,Linha 404,120,Ônibus convencional,Centro,Zona Leste,73,6.63
372,2023-08-04,10:16,Linha 101,147,Articulado,Zona Norte,Zona Leste,21,4.08
373,2023-11-07,14:34,Linha 505,89,Articulado,Zona Norte,Zona Leste,28,5.17
374,2023-07-20,05:16,Linha 505,111,Articulado,Zona Oeste,Zona Norte,70,7.28
375,2023-06-15,12:50,Linha 505,86,Micro-ônibus,Zona Oeste,Zona Norte,60,4.36
376,2023-07-15,11:15,Linha 404,122,Ônibus convencional,Zona Oeste,Zona Norte,80,5.19
377,2023-05-14,15:59,Linha 505,29,Micro-ônibus,Zona Oeste,Centro,15,5.52
378,2023-04-04,05:01,Linha 303,102,Micro-ônibus,Zona Oeste,Zona Oeste,61,7.5
379,2023-07-29,05:18,Linha 404,12,Ônibus convencional,Zona Oeste,Centro,19,6.4
380,2023-05-24,14:30,Linha 404,50,Micro-ônibus,Zona Leste,Zona Leste,11,7.16
381,2023-08-20,22:03,Linha 202,77,Micro-ônibus,Zona Sul,Zona Norte,50,4.51
382,2023-05-24,13:43,Linha 202,59,Ônibus convencional,Zona Sul,Centro,87,3.7
383,2023-01-05,06:36,Linha 505,121,Ônibus convencional,Zona Leste,Zona Norte,24,7.33
384,2023-10-09,20:37,Linha 505,65,Ônibus convencional,Zona Oeste,Zona Sul,33,6.87
385,2023-01-25,12:40,Linha 101,128,Elétrico,Zona Sul,Zona Sul,69,6.86
386,2023-11-11,05:46,Linha 404,102,Elétrico,Zona Norte,Zona Sul,83,3.91
387,2023-04-07,05:46,Linha 404,11,Micro-ônibus,Zona Leste,Zona Norte,83,5.83
388,2023-08-01,16:53,Linha 404,114,Elétrico,Zona Sul,Zona Norte,33,7.47
389,2023-11-23,19:38,Linha 202,149,Elétrico,Zona Sul,Zona Leste,52,4.71
390,2023-01-07,16:38,Linha 303,18,Micro-ônibus,Zona Norte,Zona Norte,70,7.47
391,2023-04-05,17:04,Linha 505,47,Ônibus convencional,Zona Norte,Zona Leste,50,5.84
392,2023-09-21,17:48,Linha 505,76,Ônibus convencional,Zona Oeste,Zona Oeste,53,3.94
393,2023-07-17,06:31,Linha 303,103,Elétrico,Centro,Centro,51,4.4
394,2023-02-22,15:02,Linha 404,146,Micro-ônibus,Centro,Zona Norte,88,4.48
395,2023-02-09,13:33,Linha 101,136,Elétrico,Zona Oeste,Zona Leste,14,4.84
396,2023-06-30,06:26,Linha 505,106,Ônibus convencional,Zona Sul,Zona Leste,30,3.93
397,2023-12-03,20:04,Linha 404,23,Ônibus convencional,Zona Sul,Zona Leste,58,5.92
398,2023-06-22,12:35,Linha 202,81,Elétrico,Zona Leste,Zona Leste,62,6.22
399,2023-10-09,16:58,Linha 303,72,Micro-ônibus,Centro,Zona Leste,59,6.86
400,2023-05-08,12:38,Linha 303,104,Articulado,Zona Oeste,Centro,11,4.18
401,2023-03-06,21:38,Linha 101,22,Articulado,Zona Sul,Zona Sul,79,6.64
402,2023-01-05,11:28,Linha 202,149,Elétrico,Zona Norte,Zona Leste,73,6.32
403,2023-12-27,12:24,Linha 404,66,Micro-ônibus,Zona Oeste,Centro,32,3.66
404,2023-04-28,14:36,Linha 101,141,Articulado,Zona Sul,Zona Norte,13,5.7
405,2023-10-26,16:52,Linha 404,86,Micro-ônibus,Zona Oeste,Zona Sul,27,5.22
406,2023-10-20,22:51,Linha 303,37,Micro-ônibus,Zona Leste,Zona Oeste,15,5.19
407,2023-04-29,17:58,Linha 303,15,Articulado,Zona Leste,Zona Oeste,50,6.94
408,2023-12-28,11:24,Linha 404,46,Articulado,Centro,Zona Sul,58,5.58
409,2023-03-23,22:56,Linha 303,73,Ônibus convencional,Centro,Zona Norte,46,4.61
410,2023-02-25,11:15,Linha 404,52,Ônibus convencional,Zona Sul,Zona Sul,82,6.72
411,2023-12-07,05:53,Linha 101,115,Ônibus convencional,Zona Norte,Centro,31,5.45
412,2023-10-28,08:54,Linha 101,147,Articulado,Zona Oeste,Zona Sul,59,3.61
413,2023-10-15,22:38,Linha 202,125,Ônibus convencional,Zona Leste,Zona Leste,21,3.7
414,2023-11-09,20:08,Linha 505,121,Elétrico,Zona Oeste,Centro,60,7.43
415,2023-11-08,18:25,Linha 505,98,Articulado,Zona Norte,Zona Leste,43,4.03
416,2023-03-03,05:05,Linha 404,64,Ônibus convencional,Zona Sul,Zona Sul,19,5.11
417,2023-04-26,15:32,Linha 303,11,Ônibus convencional,Zona Norte,Centro,67,7.26
418,2023-02-17,19:48,Linha 101,123,Ônibus convencional,Centro,Centro,78,4.5
419,2023-02-23,12:46,Linha 505,65,Articulado,Centro,Zona Leste,81,6.64
420,2023-01-30,18:56,Linha 202,135,Articulado,Zona Norte,Zona Norte,25,3.72
421,2023-02-20,16:31,Linha 303,59,Elétrico,Zona Sul,Zona Oeste,54,5.22
422,2023-10-25,16:39,Linha 202,90,Elétrico,Zona Norte,Centro,90,5.41
423,2023-08-05,21:16,Linha 505,92,Elétrico,Zona Sul,Centro,55,3.96
424,2023-02-06,06:37,Linha 202,116,Articulado,Zona Leste,Centro,86,5.24
425,2023-09-03,21:44,Linha 303,16,Ônibus convencional,Zona Norte,Centro,54,6.92
426,2023-07-11,16:35,Linha 303,143,Micro-ônibus,Zona Norte,Zona Oeste,69,7.45
427,2023-06-22,05:32,Linha 505,106,Ônibus convencional,Zona Norte,Centro,39,6.08
428,2023-03-18,05:36,Linha 101,51,Elétrico,Centro,Zona Sul,30,3.8
429,2023-10-09,20:24,Linha 505,83,Articulado,Zona Leste,Zona Sul,83,6.64
430,2023-05-14,15:52,Linha 101,150,Articulado,Zona Norte,Zona Norte,51,4.06
431,2023-12-28,22:52,Linha 101,113,Elétrico,Centro,Zona Oeste,24,3.6
432,2023-06-15,16:04,Linha 303,66,Elétrico,Zona Norte,Zona Leste,22,3.51
433,2023-03-18,05:08,Linha 404,76,Articulado,Zona Sul,Zona Norte,24,5.48
434,2023-01-21,21:21,Linha 404,39,Elétrico,Centro,Zona Leste,81,7.45
435,2023-04-08,07:43,Linha 404,106,Micro-ônibus,Zona Oeste,Zona Sul,45,3.58
436,2023-12-23,19:17,Linha 101,19,Articulado,Zona Oeste,Zona Leste,30,3.8
437,2023-01-03,14:32,Linha 505,91,Micro-ônibus,Zona Leste,Zona Norte,49,6.4
438,2023-01-16,08:04,Linha 404,6,Articulado,Centro,Zona Sul,57,4.19
439,2023-07-16,21:14,Linha 404,76,Articulado,Zona Oeste,Centro,78,4.07
440,2023-05-20,19:50,Linha 303,29,Articulado,Zona Norte,Zona Leste,88,4.91
441,2023-02-11,10:26,Linha 404,53,Ônibus convencional,Zona Norte,Centro,21,6.61
442,2023-12-24,11:27,Linha 404,25,Elétrico,Zona Norte,Zona Leste,56,6.71
443,2023-07-21,11:06,Linha 404,124,Ônibus convencional,Zona Sul,Zona Sul,54,5.7
444,2023-06-30,15:52,Linha 505,137,Micro-ônibus,Zona Leste,Zona Sul,32,7.11
445,2023-02-11,05:43,Linha 404,15,Articulado,Zona Leste,Zona Sul,59,7.47
446,2023-05-22,10:51,Linha 303,112,Ônibus convencional,Zona Sul,Zona Norte,90,4.05
447,2023-03-22,05:30,Linha 101,42,Articulado,Zona Oeste,Zona Sul,81,5.83
448,2023-03-14,15:48,Linha 505,6,Elétrico,Zona Sul,Zona Norte,13,6.07
449,2023-09-01,22:14,Linha 303,13,Articulado,Zona Norte,Zona Norte,26,4.92
450,2023-02-26,12:51,Linha 202,134,Elétrico,Zona Oeste,Zona Norte,49,4.12
451,2023-03-10,11:03,Linha 404,121,Articulado,Zona Sul,Zona Norte,87,5.83
452,2023-03-21,06:33,Linha 101,137,Elétrico,Zona Norte,Zona Oeste,58,4.75
453,2023-06-16,14:05,Linha 505,88,Micro-ônibus,Zona Oeste,Zona Leste,43,5.38
454,2023-10-31,10:13,Linha 202,8,Ônibus convencional,Zona Sul,Zona Norte,22,5.19
455,2023-03-11,12:03,Linha 101,16,Micro-ônibus,Centro,Centro,46,5.09
456,2023-12-01,13:32,Linha 303,73,Micro-ônibus,Zona Norte,Zona Norte,28,5.8
457,2023-04-23,08:57,Linha 202,120,Elétrico,Zona Sul,Zona Leste,31,5.07
458,2023-12-23,22:55,Linha 202,6,Articulado,Zona Norte,Centro,71,4.24
459,2023-12-08,16:13,Linha 404,120,Micro-ônibus,Zona Leste,Zona Leste,52,5.38
460,2023-05-23,17:47,Linha 303,133,Articulado,Zona Oeste,Zona Leste,21,4.04
461,2023-11-25,17:39,Linha 505,77,Articulado,Zona Oeste,Centro,57,4.32
462,2023-02-19,21:03,Linha 303,40,Ônibus convencional,Zona Norte,Zona Norte,74,5.5
463,2023-03-05,19:09,Linha 202,69,Articulado,Zona Oeste,Zona Norte,31,4.29
464,2023-04-14,12:39,Linha 505,14,Elétrico,Centro,Zona Norte,60,5.67
465,2023-08-08,15:07,Linha 404,22,Ônibus convencional,Zona Leste,Zona Oeste,78,4.51
466,2023-08-14,16:42,Linha 404,36,Elétrico,Centro,Centro,16,7.24
467,2023-02-28,16:50,Linha 202,122,Articulado,Zona Norte,Zona Oeste,52,5.7
468,2023-05-21,05:19,Linha 404,103,Micro-ônibus,Zona Oeste,Zona Norte,75,6.86
469,2023-09-03,19:30,Linha 404,145,Elétrico,Zona Oeste,Zona Oeste,72,5.86
470,2023-08-31,15:17,Linha 202,37,Elétrico,Centro,Zona Sul,30,5.69
471,2023-12-16,16:54,Linha 202,45,Articulado,Zona Sul,Centro,45,5.06
472,2023-11-08,22:37,Linha 505,88,Ônibus convencional,Zona Leste,Zona Leste,13,4.98
473,2023-01-22,19:55,Linha 303,65,Micro-ônibus,Zona Norte,Zona Sul,50,5.91
474,2023-08-28,09:52,Linha 202,54,Ônibus convencional,Zona Sul,Zona Oeste,49,6.5
475,2023-12-09,08:52,Linha 505,33,Elétrico,Zona Norte,Zona Oeste,64,4.18
476,2023-10-24,09:32,Linha 505,146,Articulado,Centro,Zona Leste,11,6.0
477,2023-05-25,15:02,Linha 404,124,Articulado,Centro,Zona Sul,31,7.05
478,2023-09-27,17:00,Linha 505,132,Micro-ônibus,Zona Oeste,Centro,53,7.44
479,2023-05-05,08:27,Linha 202,42,Ônibus convencional,Zona Leste,Zona Sul,82,6.07
480,2023-02-03,08:55,Linha 303,79,Articulado,Centro,Zona Leste,13,4.42
481,2023-08-19,18:21,Linha 101,97,Articulado,Zona Norte,Zona Leste,29,5.5
482,2023-06-27,06:58,Linha 505,59,Micro-ônibus,Zona Oeste,Zona Norte,67,6.81
483,2023-09-29,22:47,Linha 101,88,Micro-ônibus,Zona Sul,Zona Oeste,45,6.4
484,2023-03-19,11:52,Linha 202,65,Articulado,Zona Oeste,Zona Sul,36,3.65
485,2023-06-27,19:44,Linha 505,106,Ônibus convencional,Centro,Zona Oeste,36,6.03
486,2023-02-25,20:50,Linha 101,56,Elétrico,Centro,Zona Sul,17,5.97
487,2023-08-30,21:20,Linha 101,32,Elétrico,Centro,Centro,24,4.59
488,2023-07-26,09:47,Linha 404,147,Ônibus convencional,Zona Sul,Zona Oeste,86,3.74
489,2023-05-01,11:31,Linha 101,107,Micro-ônibus,Zona Leste,Zona Leste,70,3.63
490,2023-10-13,06:51,Linha 101,24,Ônibus convencional,Zona Oeste,Zona Norte,55,3.66
491,2023-03-27,17:39,Linha 404,47,Ônibus convencional,Zona Oeste,Zona Oeste,49,4.04
492,2023-10-29,07:53,Linha 404,116,Elétrico,Zona Leste,Zona Sul,76,5.53
493,2023-05-04,14:30,Linha 404,28,Micro-ônibus,Zona Sul,Zona Norte,15,5.44
494,2023-03-17,15:30,Linha 202,128,Micro-ônibus,Zona Norte,Zona Leste,74,4.73
495,2023-06-07,09:33,Linha 404,14,Ônibus convencional,Zona Norte,Zona Norte,42,5.52
496,2023-12-06,21:16,Linha 303,29,Elétrico,Zona Sul,Centro,71,5.44
497,2023-10-18,07:21,Linha 404,83,Micro-ônibus,Zona Oeste,Zona Leste,40,6.06
498,2023-08-09,15:51,Linha 303,53,Ônibus convencional,Zona Leste,Zona Sul,17,7.47
499,2023-02-04,16:49,Linha 505,133,Articulado,Zona Norte,Zona Leste,45,5.05
500,2023-07-30,16:25,Linha 101,139,Ônibus convencional,Centro,Centro,74,6.26
501,2023-04-25,11:49,Linha 303,26,Micro-ônibus,Zona Sul,Zona Oeste,30,4.07
502,2023-01-19,22:35,Linha 101,88,Articulado,Centro,Zona Sul,77,7.09
503,2023-01-11,06:33,Linha 404,60,Micro-ônibus,Zona Norte,Zona Norte,55,3.53
504,2023-01-03,07:39,Linha 404,70,Elétrico,Zona Leste,Zona Leste,22,3.87
505,2023-07-22,15:07,Linha 303,84,Articulado,Zona Norte,Zona Sul,32,5.77
506,2023-08-21,10:14,Linha 101,8,Elétrico,Zona Leste,Zona Leste,61,4.08
507,2023-04-16,13:45,Linha 303,40,Elétrico,Zona Norte,Zona Norte,47,6.68
508,2023-02-15,12:00,Linha 303,83,Ônibus convencional,Centro,Centro,38,7.17
509,2023-09-08,19:14,Linha 505,45,Articulado,Centro,Zona Leste,63,7.07
510,2023-07-04,11:00,Linha 404,142,Micro-ônibus,Zona Sul,Zona Oeste,29,6.2
511,2023-01-19,20:50,Linha 202,144,Ônibus convencional,Zona Leste,Zona Leste,27,7.3
512,2023-02-03,08:32,Linha 101,50,Articulado,Zona Norte,Zona Oeste,68,4.84
513,2023-01-28,13:09,Linha 101,92,Micro-ônibus,Zona Sul,Zona Norte,21,3.59
514,2023-02-08,21:27,Linha 202,6,Ônibus convencional,Zona Sul,Zona Oeste,68,4.55
515,2023-06-13,08:21,Linha 404,148,Ônibus convencional,Zona Norte,Zona Norte,37,6.66
516,2023-12-21,16:21,Linha 505,17,Articulado,Zona Oeste,Centro,17,3.92
517,2023-03-30,22:15,Linha 303,82,Articulado,Zona Norte,Zona Leste,27,3.81
518,2023-08-29,17:11,Linha 101,112,Ônibus convencional,Centro,Centro,80,5.08
519,2023-01-26,19:08,Linha 404,108,Micro-ônibus,Zona Oeste,Zona Sul,68,6.2
520,2023-09-09,22:50,Linha 101,62,Articulado,Zona Oeste,Zona Oeste,11,5.32
521,2023-07-11,11:42,Linha 101,37,Micro-ônibus,Zona Sul,Centro,39,7.22
522,2023-05-08,06:33,Linha 101,15,Ônibus convencional,Zona Sul,Zona Norte,47,4.61
523,2023-10-27,21:32,Linha 404,20,Elétrico,Zona Norte,Zona Sul,29,5.62
524,2023-09-04,13:47,Linha 404,124,Elétrico,Zona Sul,Centro,14,3.6
525,2023-05-03,12:48,Linha 202,145,Ônibus convencional,Zona Oeste,Centro,73,7.32
526,2023-10-17,11:51,Linha 101,99,Ônibus convencional,Zona Oeste,Zona Leste,62,5.18
527,2023-04-28,16:25,Linha 202,36,Articulado,Centro,Zona Norte,26,6.53
528,2023-11-01,11:34,Linha 303,43,Elétrico,Zona Sul,Zona Oeste,77,4.5
529,2023-06-22,22:22,Linha 202,138,Elétrico,Centro,Zona Leste,45,7.36
530,2023-08-28,17:00,Linha 101,42,Articulado,Centro,Zona Norte,72,5.58
531,2023-01-13,13:15,Linha 202,31,Ônibus convencional,Zona Oeste,Zona Oeste,21,4.64
532,2023-12-16,22:11,Linha 303,40,Ônibus convencional,Zona Leste,Zona Oeste,57,5.6
533,2023-12-26,21:50,Linha 404,46,Elétrico,Zona Oeste,Zona Leste,70,6.75
534,2023-12-07,20:15,Linha 303,22,Micro-ônibus,Zona Sul,Zona Sul,14,6.41
535,2023-04-26,21:40,Linha 303,19,Elétrico,Zona Oeste,Zona Oeste,73,3.86
536,2023-02-28,10:15,Linha 101,145,Micro-ônibus,Zona Leste,Centro,69,3.94
537,2023-05-02,13:03,Linha 303,111,Ônibus convencional,Zona Sul,Zona Oeste,64,6.2
538,2023-03-30,07:45,Linha 303,54,Elétrico,Zona Norte,Zona Oeste,69,3.52
539,2023-09-18,09:30,Linha 202,11,Micro-ônibus,Centro,Zona Leste,43,5.7
540,2023-12-05,11:21,Linha 202,113,Ônibus convencional,Zona Sul,Zona Leste,21,5.1
541,2023-02-08,12:56,Linha 303,78,Micro-ônibus,Zona Sul,Zona Leste,63,6.5
542,2023-10-01,08:06,Linha 101,9,Micro-ônibus,Zona Norte,Zona Oeste,46,7.04
543,2023-11-07,19:55,Linha 202,60,Micro-ônibus,Zona Oeste,Zona Oeste,25,4.83
544,2023-07-11,21:26,Linha 505,49,Ônibus convencional,Zona Sul,Zona Leste,66,6.9
545,2023-07-02,11:44,Linha 101,22,Ônibus convencional,Centro,Zona Sul,48,5.07
546,2023-11-20,09:34,Linha 101,60,Micro-ônibus,Zona Leste,Zona Oeste,22,6.02
547,2023-08-03,19:36,Linha 202,18,Elétrico,Zona Leste,Zona Norte,75,6.82
548,2023-04-19,19:54,Linha 101,9,Elétrico,Centro,Centro,42,5.59
549,2023-05-15,17:34,Linha 505,59,Micro-ônibus,Zona Norte,Zona Norte,10,5.31
550,2023-04-15,20:52,Linha 202,115,Articulado,Zona Norte,Zona Oeste,15,6.8
551,2023-11-17,22:00,Linha 303,124,Micro-ônibus,Zona Norte,Zona Sul,66,5.85
552,2023-09-28,13:28,Linha 101,125,Elétrico,Zona Leste,Zona Sul,74,5.78
553,2023-11-07,14:29,Linha 303,66,Micro-ônibus,Centro,Zona Leste,40,7.08
554,2023-10-22,21:37,Linha 505,97,Ônibus convencional,Zona Sul,Centro,87,7.15
555,2023-06-28,10:30,Linha 404,83,Articulado,Zona Leste,Centro,45,5.57
556,2023-01-23,09:00,Linha 303,135,Articulado,Zona Oeste,Zona Sul,42,4.41
557,2023-04-30,06:04,Linha 101,116,Articulado,Zona Leste,Zona Norte,54,5.52
558,2023-08-10,09:30,Linha 101,31,Articulado,Zona Leste,Zona Norte,82,6.43
559,2023-03-07,09:02,Linha 505,102,Articulado,Zona Sul,Zona Leste,81,6.68
560,2023-12-05,10:22,Linha 303,58,Elétrico,Zona Norte,Zona Oeste,64,6.34
561,2023-03-05,14:30,Linha 404,40,Articulado,Zona Oeste,Zona Norte,75,4.79
562,2023-06-05,08:43,Linha 101,12,Articulado,Centro,Zona Oeste,63,5.38
563,2023-04-19,16:48,Linha 404,42,Micro-ônibus,Zona Norte,Zona Sul,43,5.27
564,2023-10-10,11:49,Linha 202,96,Elétrico,Zona Oeste,Zona Norte,11,6.69
565,2023-01-08,18:08,Linha 404,88,Ônibus convencional,Zona Oeste,Zona Leste,55,4.49
566,2023-03-04,06:43,Linha 101,45,Micro-ônibus,Zona Leste,Zona Oeste,73,6.96
567,2023-10-21,22:30,Linha 303,70,Micro-ônibus,Centro,Zona Norte,43,6.11
568,2023-02-01,14:48,Linha 303,5,Articulado,Zona Oeste,Zona Norte,30,7.42
569,2023-09-11,09:42,Linha 404,5,Micro-ônibus,Zona Oeste,Zona Leste,39,4.7
570,2023-12-14,15:34,Linha 101,103,Micro-ônibus,Zona Norte,Zona Norte,81,4.15
571,2023-04-27,14:08,Linha 505,33,Ônibus convencional,Centro,Zona Oeste,50,5.01
572,2023-01-20,09:24,Linha 101,43,Ônibus convencional,Zona Norte,Zona Norte,88,5.05
573,2023-06-02,15:47,Linha 101,107,Articulado,Zona Sul,Zona Leste,40,6.47
574,2023-08-08,06:28,Linha 202,22,Ônibus convencional,Zona Sul,Zona Norte,71,3.74
575,2023-05-24,13:00,Linha 202,97,Elétrico,Zona Leste,Zona Norte,23,5.91
576,2023-07-11,06:15,Linha 404,65,Elétrico,Zona Sul,Centro,83,5.78
577,2023-08-22,16:37,Linha 505,16,Ônibus convencional,Centro,Zona Leste,39,5.71
578,2023-04-27,14:36,Linha 101,72,Articulado,Zona Sul,Zona Leste,25,7.04
579,2023-02-23,05:41,Linha 404,105,Ônibus convencional,Zona Leste,Zona Norte,88,5.55
580,2023-12-02,21:52,Linha 101,57,Ônibus convencional,Centro,Zona Sul,51,3.63
581,2023-04-17,15:26,Linha 505,12,Micro-ônibus,Zona Oeste,Zona Leste,38,4.63
582,2023-03-13,06:59,Linha 404,13,Elétrico,Zona Sul,Centro,12,4.53
583,2023-07-13,17:39,Linha 202,107,Articulado,Zona Oeste,Zona Sul,65,7.48
584,2023-03-27,17:22,Linha 505,60,Micro-ônibus,Zona Leste,Zona Leste,29,4.03
